ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
DFCD,,,DIDYR,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCE,,,BATIE,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCG,,,KONGOUSSI,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCI,,,TITAO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCJ,,,DJIBO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCK,,,KOUDOUGOU,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCL,,,LEO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCM,,,MANGA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCO,,,BOROMO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCP,,,PO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCR,,,POURA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCS,,,SEGUENEGA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCT,,,TENADO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCU,,,GOURCY,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFCY,,,YAKO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEA,,,BOULSA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEB,,,BOGANDE,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEC,,,KOMIN-YANGA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFED,,,DIAPAGA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEE,DOR,,DORI,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEF,FNG,,FADA N'GOURMA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEG,XGG,,GOROM GOROM,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEK,,,KOUPELA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEL,XKA,,KANTCHARI,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEM,,,TAMBAO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEO,,,ZORGO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEP,,,PAMA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFER,,,ARLI,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFES,,,SEBBA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFET,TEG,,TENKODOGO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEY,,,OUARGAYE,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFEZ,,,ZABRE,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFFD,OUA,OUAGADOUGOU,OUAGADOUGOU,BURKINA FASO,12,21,11,N,1,30,44,W,317,12.353,-1.512
DFOA,,,DANO,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOB,BNR,,BANFORA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOD,DGU,,DEDOUGOU,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOF,,,SAFANE,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOG,XGA,,AMILCAR CABRAL DE GAQUA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOH,,,HOUNDE,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOL,,,LOUMANA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFON,XNU,,NOUNA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOO,BOY,BOBO DIOULASSO,BOBO-DIOULASSO,BURKINA FASO,11,9,36,N,4,19,51,W,461,11.16,-4.331
DFOR,,,CORODARA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOS,,,SIDERADOUGOU,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOT,,,TOUGAN,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOU,,,DIEBOUGOU,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DFOY,,,ARIBINDA,BURKINA FASO,0,0,0,U,0,0,0,U,0,0.0,0.0
DGAA,ACC,KOTOKA INTERNATIONAL,ACCRA,GHANA,5,36,10,N,0,10,5,W,63,5.603,-0.168
DGAD,,,ADA,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGAH,,,HO,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGAK,,,AKUSE,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGAL,,,KETE-KRACHI,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGAS,,,SALTPOND,GUYANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGAT,,,TEMA,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGCY,CKY,,CONAKRY,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGKA,,,AKIM ODA,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGKK,,,KOFORIDUA,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGLB,,,BOLE,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGLE,TML,TAMALE,TAMALE,GHANA,9,33,48,N,0,51,48,W,169,9.563,-0.863
DGLN,,,NAVRONGO,GHANA,0,0,0,U,0,0,0,U,0,0.0,0.0
DGLW,,WA,WA,GHANA,10,4,57,N,2,30,27,W,324,10.082,-2.507
